"feature"	"treatment"	"doseLevel"
"131"	"A20_IL1"	"Troglitazone"	"4"
"132"	"A20_IL1"	"Troglitazone"	"5"
"133"	"A20_IL1"	"Troglitazone"	"6"
"134"	"A20_IL1"	"Troglitazone"	"7"
"135"	"A20_IL1"	"Troglitazone"	"8"
"136"	"A20_IL1"	"Troglitazone"	"9"
"137"	"A20_TNF"	"Andrographolide"	"1"
"138"	"A20_TNF"	"Andrographolide"	"2"
"139"	"A20_TNF"	"Andrographolide"	"3"
"140"	"A20_TNF"	"Andrographolide"	"4"
"141"	"A20_TNF"	"Andrographolide"	"5"
"142"	"A20_TNF"	"Andrographolide"	"6"
"143"	"A20_TNF"	"Andrographolide"	"7"
"144"	"A20_TNF"	"Andrographolide"	"8"
"145"	"A20_TNF"	"CDDO-Me"	"1"
"146"	"A20_TNF"	"CDDO-Me"	"2"
"147"	"A20_TNF"	"CDDO-Me"	"3"
"148"	"A20_TNF"	"CDDO-Me"	"4"
"149"	"A20_TNF"	"CDDO-Me"	"5"
"150"	"A20_TNF"	"CDDO-Me"	"6"
"151"	"A20_TNF"	"CDDO-Me"	"7"
"152"	"A20_TNF"	"CDDO-Me"	"8"
"153"	"A20_TNF"	"DEM"	"1"
"154"	"A20_TNF"	"DEM"	"2"
"155"	"A20_TNF"	"DEM"	"3"
"156"	"A20_TNF"	"DEM"	"4"
"157"	"A20_TNF"	"DEM"	"5"
"158"	"A20_TNF"	"DEM"	"6"
"159"	"A20_TNF"	"DEM"	"7"
"160"	"A20_TNF"	"DEM"	"8"
"161"	"A20_TNF"	"Diclofenac"	"1"
"162"	"A20_TNF"	"Diclofenac"	"2"
"163"	"A20_TNF"	"Diclofenac"	"3"
"164"	"A20_TNF"	"Diclofenac"	"4"
"165"	"A20_TNF"	"Diclofenac"	"5"
"166"	"A20_TNF"	"Diclofenac"	"6"
"167"	"A20_TNF"	"Diclofenac"	"7"
"168"	"A20_TNF"	"Diclofenac"	"8"
"169"	"A20_TNF"	"Diclofenac"	"9"
"170"	"A20_TNF"	"DMSO"	"1"
"171"	"A20_TNF"	"Ethacrynic acid"	"1"
"172"	"A20_TNF"	"Ethacrynic acid"	"2"
"173"	"A20_TNF"	"Ethacrynic acid"	"3"
"174"	"A20_TNF"	"Ethacrynic acid"	"4"
"175"	"A20_TNF"	"Ethacrynic acid"	"5"
"176"	"A20_TNF"	"Ethacrynic acid"	"6"
"177"	"A20_TNF"	"Ethacrynic acid"	"7"
"178"	"A20_TNF"	"Ethacrynic acid"	"8"
"179"	"A20_TNF"	"Sulforaphane"	"1"
"180"	"A20_TNF"	"Sulforaphane"	"2"
"181"	"A20_TNF"	"Sulforaphane"	"3"
"182"	"A20_TNF"	"Sulforaphane"	"4"
"183"	"A20_TNF"	"Sulforaphane"	"5"
"184"	"A20_TNF"	"Sulforaphane"	"6"
"185"	"A20_TNF"	"Sulforaphane"	"7"
"186"	"A20_TNF"	"Sulforaphane"	"8"
"187"	"A20_TNF"	"TBHQ"	"1"
"188"	"A20_TNF"	"TBHQ"	"2"
"189"	"A20_TNF"	"TBHQ"	"3"
"190"	"A20_TNF"	"TBHQ"	"4"
"191"	"A20_TNF"	"TBHQ"	"5"
"192"	"A20_TNF"	"TBHQ"	"6"
"193"	"A20_TNF"	"TBHQ"	"7"
"194"	"A20_TNF"	"TBHQ"	"8"
"195"	"A20_TNF"	"TBHQ"	"9"
"196"	"A20_TNF"	"Troglitazone"	"1"
"197"	"A20_TNF"	"Troglitazone"	"2"
"198"	"A20_TNF"	"Troglitazone"	"3"
"199"	"A20_TNF"	"Troglitazone"	"4"
"200"	"A20_TNF"	"Troglitazone"	"5"
"201"	"A20_TNF"	"Troglitazone"	"6"
"202"	"A20_TNF"	"Troglitazone"	"7"
"203"	"A20_TNF"	"Troglitazone"	"8"
"204"	"A20_TNF"	"Troglitazone"	"9"
"205"	"Apoptosis WT_DMEM"	"Andrographolide"	"1"
"206"	"Apoptosis WT_DMEM"	"Andrographolide"	"2"
"207"	"Apoptosis WT_DMEM"	"Andrographolide"	"3"
"208"	"Apoptosis WT_DMEM"	"Andrographolide"	"4"
"209"	"Apoptosis WT_DMEM"	"Andrographolide"	"5"
"210"	"Apoptosis WT_DMEM"	"Andrographolide"	"6"
"211"	"Apoptosis WT_DMEM"	"Andrographolide"	"7"
"212"	"Apoptosis WT_DMEM"	"Andrographolide"	"8"
"213"	"Apoptosis WT_DMEM"	"CDDO-Me"	"1"
"214"	"Apoptosis WT_DMEM"	"CDDO-Me"	"2"
"215"	"Apoptosis WT_DMEM"	"CDDO-Me"	"3"
"216"	"Apoptosis WT_DMEM"	"CDDO-Me"	"4"
"217"	"Apoptosis WT_DMEM"	"CDDO-Me"	"5"
"218"	"Apoptosis WT_DMEM"	"CDDO-Me"	"6"
"219"	"Apoptosis WT_DMEM"	"CDDO-Me"	"7"
"220"	"Apoptosis WT_DMEM"	"CDDO-Me"	"8"
"221"	"Apoptosis WT_DMEM"	"DEM"	"1"
"222"	"Apoptosis WT_DMEM"	"DEM"	"2"
"223"	"Apoptosis WT_DMEM"	"DEM"	"3"
"224"	"Apoptosis WT_DMEM"	"DEM"	"4"
"225"	"Apoptosis WT_DMEM"	"DEM"	"5"
"226"	"Apoptosis WT_DMEM"	"DEM"	"6"
"227"	"Apoptosis WT_DMEM"	"DEM"	"7"
"228"	"Apoptosis WT_DMEM"	"DEM"	"8"
"229"	"Apoptosis WT_DMEM"	"Diclofenac"	"1"
"230"	"Apoptosis WT_DMEM"	"Diclofenac"	"2"
"231"	"Apoptosis WT_DMEM"	"Diclofenac"	"3"
"232"	"Apoptosis WT_DMEM"	"Diclofenac"	"4"
"233"	"Apoptosis WT_DMEM"	"Diclofenac"	"5"
"234"	"Apoptosis WT_DMEM"	"Diclofenac"	"6"
"235"	"Apoptosis WT_DMEM"	"Diclofenac"	"7"
"236"	"Apoptosis WT_DMEM"	"Diclofenac"	"8"
"237"	"Apoptosis WT_DMEM"	"Diclofenac"	"9"
"238"	"Apoptosis WT_DMEM"	"DMSO"	"1"
"239"	"Apoptosis WT_DMEM"	"Ethacrynic acid"	"1"
"240"	"Apoptosis WT_DMEM"	"Ethacrynic acid"	"2"
"241"	"Apoptosis WT_DMEM"	"Ethacrynic acid"	"3"
"242"	"Apoptosis WT_DMEM"	"Ethacrynic acid"	"4"
"243"	"Apoptosis WT_DMEM"	"Ethacrynic acid"	"5"
"244"	"Apoptosis WT_DMEM"	"Ethacrynic acid"	"6"
"245"	"Apoptosis WT_DMEM"	"Ethacrynic acid"	"7"
"246"	"Apoptosis WT_DMEM"	"Ethacrynic acid"	"8"
"247"	"Apoptosis WT_DMEM"	"Sulforaphane"	"1"
"248"	"Apoptosis WT_DMEM"	"Sulforaphane"	"2"
"249"	"Apoptosis WT_DMEM"	"Sulforaphane"	"3"
"250"	"Apoptosis WT_DMEM"	"Sulforaphane"	"4"
"251"	"Apoptosis WT_DMEM"	"Sulforaphane"	"5"
"252"	"Apoptosis WT_DMEM"	"Sulforaphane"	"6"
"253"	"Apoptosis WT_DMEM"	"Sulforaphane"	"7"
"254"	"Apoptosis WT_DMEM"	"Sulforaphane"	"8"
"255"	"Apoptosis WT_DMEM"	"TBHQ"	"1"
"256"	"Apoptosis WT_DMEM"	"TBHQ"	"2"
"257"	"Apoptosis WT_DMEM"	"TBHQ"	"3"
"258"	"Apoptosis WT_DMEM"	"TBHQ"	"4"
"259"	"Apoptosis WT_DMEM"	"TBHQ"	"5"
"260"	"Apoptosis WT_DMEM"	"TBHQ"	"6"
"261"	"Apoptosis WT_DMEM"	"TBHQ"	"7"
"262"	"Apoptosis WT_DMEM"	"TBHQ"	"8"
"263"	"Apoptosis WT_DMEM"	"TBHQ"	"9"
"264"	"Apoptosis WT_DMEM"	"Troglitazone"	"1"
"265"	"Apoptosis WT_DMEM"	"Troglitazone"	"2"
"266"	"Apoptosis WT_DMEM"	"Troglitazone"	"3"
"267"	"Apoptosis WT_DMEM"	"Troglitazone"	"4"
"268"	"Apoptosis WT_DMEM"	"Troglitazone"	"5"
"269"	"Apoptosis WT_DMEM"	"Troglitazone"	"6"
"270"	"Apoptosis WT_DMEM"	"Troglitazone"	"7"
"271"	"Apoptosis WT_DMEM"	"Troglitazone"	"8"
"272"	"Apoptosis WT_DMEM"	"Troglitazone"	"9"
"273"	"Apoptosis WT_IL1"	"Andrographolide"	"1"
"274"	"Apoptosis WT_IL1"	"Andrographolide"	"2"
"275"	"Apoptosis WT_IL1"	"Andrographolide"	"3"
"276"	"Apoptosis WT_IL1"	"Andrographolide"	"4"
"277"	"Apoptosis WT_IL1"	"Andrographolide"	"5"
"278"	"Apoptosis WT_IL1"	"Andrographolide"	"6"
"279"	"Apoptosis WT_IL1"	"Andrographolide"	"7"
"280"	"Apoptosis WT_IL1"	"Andrographolide"	"8"
"281"	"Apoptosis WT_IL1"	"CDDO-Me"	"1"
"282"	"Apoptosis WT_IL1"	"CDDO-Me"	"2"
"283"	"Apoptosis WT_IL1"	"CDDO-Me"	"3"
"284"	"Apoptosis WT_IL1"	"CDDO-Me"	"4"
"285"	"Apoptosis WT_IL1"	"CDDO-Me"	"5"
"286"	"Apoptosis WT_IL1"	"CDDO-Me"	"6"
"287"	"Apoptosis WT_IL1"	"CDDO-Me"	"7"
"288"	"Apoptosis WT_IL1"	"CDDO-Me"	"8"
"289"	"Apoptosis WT_IL1"	"DEM"	"1"
"290"	"Apoptosis WT_IL1"	"DEM"	"2"
"291"	"Apoptosis WT_IL1"	"DEM"	"3"
"292"	"Apoptosis WT_IL1"	"DEM"	"4"
"293"	"Apoptosis WT_IL1"	"DEM"	"5"
"294"	"Apoptosis WT_IL1"	"DEM"	"6"
"295"	"Apoptosis WT_IL1"	"DEM"	"7"
"296"	"Apoptosis WT_IL1"	"DEM"	"8"
"297"	"Apoptosis WT_IL1"	"Diclofenac"	"1"
"298"	"Apoptosis WT_IL1"	"Diclofenac"	"2"
"299"	"Apoptosis WT_IL1"	"Diclofenac"	"3"
"300"	"Apoptosis WT_IL1"	"Diclofenac"	"4"
"301"	"Apoptosis WT_IL1"	"Diclofenac"	"5"
"302"	"Apoptosis WT_IL1"	"Diclofenac"	"6"
"303"	"Apoptosis WT_IL1"	"Diclofenac"	"7"
"304"	"Apoptosis WT_IL1"	"Diclofenac"	"8"
"305"	"Apoptosis WT_IL1"	"Diclofenac"	"9"
"306"	"Apoptosis WT_IL1"	"DMSO"	"1"
"307"	"Apoptosis WT_IL1"	"Ethacrynic acid"	"1"
"308"	"Apoptosis WT_IL1"	"Ethacrynic acid"	"2"
"309"	"Apoptosis WT_IL1"	"Ethacrynic acid"	"3"
"310"	"Apoptosis WT_IL1"	"Ethacrynic acid"	"4"
"311"	"Apoptosis WT_IL1"	"Ethacrynic acid"	"5"
"312"	"Apoptosis WT_IL1"	"Ethacrynic acid"	"6"
"313"	"Apoptosis WT_IL1"	"Ethacrynic acid"	"7"
"314"	"Apoptosis WT_IL1"	"Ethacrynic acid"	"8"
"315"	"Apoptosis WT_IL1"	"Sulforaphane"	"1"
"316"	"Apoptosis WT_IL1"	"Sulforaphane"	"2"
"317"	"Apoptosis WT_IL1"	"Sulforaphane"	"3"
"318"	"Apoptosis WT_IL1"	"Sulforaphane"	"4"
"319"	"Apoptosis WT_IL1"	"Sulforaphane"	"5"
"320"	"Apoptosis WT_IL1"	"Sulforaphane"	"6"
"321"	"Apoptosis WT_IL1"	"Sulforaphane"	"7"
"322"	"Apoptosis WT_IL1"	"Sulforaphane"	"8"
"323"	"Apoptosis WT_IL1"	"TBHQ"	"1"
"324"	"Apoptosis WT_IL1"	"TBHQ"	"2"
"325"	"Apoptosis WT_IL1"	"TBHQ"	"3"
"326"	"Apoptosis WT_IL1"	"TBHQ"	"4"
"327"	"Apoptosis WT_IL1"	"TBHQ"	"5"
"328"	"Apoptosis WT_IL1"	"TBHQ"	"6"
"329"	"Apoptosis WT_IL1"	"TBHQ"	"7"
"330"	"Apoptosis WT_IL1"	"TBHQ"	"8"
"331"	"Apoptosis WT_IL1"	"TBHQ"	"9"
"332"	"Apoptosis WT_IL1"	"Troglitazone"	"1"
"333"	"Apoptosis WT_IL1"	"Troglitazone"	"2"
"334"	"Apoptosis WT_IL1"	"Troglitazone"	"3"
"335"	"Apoptosis WT_IL1"	"Troglitazone"	"4"
"336"	"Apoptosis WT_IL1"	"Troglitazone"	"5"
"337"	"Apoptosis WT_IL1"	"Troglitazone"	"6"
"338"	"Apoptosis WT_IL1"	"Troglitazone"	"7"
"339"	"Apoptosis WT_IL1"	"Troglitazone"	"8"
"340"	"Apoptosis WT_IL1"	"Troglitazone"	"9"
"341"	"Apoptosis WT_TNF"	"Andrographolide"	"1"
"342"	"Apoptosis WT_TNF"	"Andrographolide"	"2"
"343"	"Apoptosis WT_TNF"	"Andrographolide"	"3"
"344"	"Apoptosis WT_TNF"	"Andrographolide"	"4"
"345"	"Apoptosis WT_TNF"	"Andrographolide"	"5"
"346"	"Apoptosis WT_TNF"	"Andrographolide"	"6"
"347"	"Apoptosis WT_TNF"	"Andrographolide"	"7"
"348"	"Apoptosis WT_TNF"	"Andrographolide"	"8"
"349"	"Apoptosis WT_TNF"	"CDDO-Me"	"1"
"350"	"Apoptosis WT_TNF"	"CDDO-Me"	"2"
"351"	"Apoptosis WT_TNF"	"CDDO-Me"	"3"
"352"	"Apoptosis WT_TNF"	"CDDO-Me"	"4"
"353"	"Apoptosis WT_TNF"	"CDDO-Me"	"5"
"354"	"Apoptosis WT_TNF"	"CDDO-Me"	"6"
"355"	"Apoptosis WT_TNF"	"CDDO-Me"	"7"
"356"	"Apoptosis WT_TNF"	"CDDO-Me"	"8"
"357"	"Apoptosis WT_TNF"	"DEM"	"1"
"358"	"Apoptosis WT_TNF"	"DEM"	"2"
"359"	"Apoptosis WT_TNF"	"DEM"	"3"
"360"	"Apoptosis WT_TNF"	"DEM"	"4"
"361"	"Apoptosis WT_TNF"	"DEM"	"5"
"362"	"Apoptosis WT_TNF"	"DEM"	"6"
"363"	"Apoptosis WT_TNF"	"DEM"	"7"
"364"	"Apoptosis WT_TNF"	"DEM"	"8"
"365"	"Apoptosis WT_TNF"	"Diclofenac"	"1"
"366"	"Apoptosis WT_TNF"	"Diclofenac"	"2"
"367"	"Apoptosis WT_TNF"	"Diclofenac"	"3"
"368"	"Apoptosis WT_TNF"	"Diclofenac"	"4"
"369"	"Apoptosis WT_TNF"	"Diclofenac"	"5"
"370"	"Apoptosis WT_TNF"	"Diclofenac"	"6"
"371"	"Apoptosis WT_TNF"	"Diclofenac"	"7"
"372"	"Apoptosis WT_TNF"	"Diclofenac"	"8"
"373"	"Apoptosis WT_TNF"	"Diclofenac"	"9"
"374"	"Apoptosis WT_TNF"	"DMSO"	"1"
"375"	"Apoptosis WT_TNF"	"Ethacrynic acid"	"1"
"376"	"Apoptosis WT_TNF"	"Ethacrynic acid"	"2"
"377"	"Apoptosis WT_TNF"	"Ethacrynic acid"	"3"
"378"	"Apoptosis WT_TNF"	"Ethacrynic acid"	"4"
"379"	"Apoptosis WT_TNF"	"Ethacrynic acid"	"5"
"380"	"Apoptosis WT_TNF"	"Ethacrynic acid"	"6"
"381"	"Apoptosis WT_TNF"	"Ethacrynic acid"	"7"
"382"	"Apoptosis WT_TNF"	"Ethacrynic acid"	"8"
"383"	"Apoptosis WT_TNF"	"Sulforaphane"	"1"
"384"	"Apoptosis WT_TNF"	"Sulforaphane"	"2"
"385"	"Apoptosis WT_TNF"	"Sulforaphane"	"3"
"386"	"Apoptosis WT_TNF"	"Sulforaphane"	"4"
"387"	"Apoptosis WT_TNF"	"Sulforaphane"	"5"
"388"	"Apoptosis WT_TNF"	"Sulforaphane"	"6"
"389"	"Apoptosis WT_TNF"	"Sulforaphane"	"7"
"390"	"Apoptosis WT_TNF"	"Sulforaphane"	"8"
"391"	"Apoptosis WT_TNF"	"TBHQ"	"1"
"392"	"Apoptosis WT_TNF"	"TBHQ"	"2"
"393"	"Apoptosis WT_TNF"	"TBHQ"	"3"
"394"	"Apoptosis WT_TNF"	"TBHQ"	"4"
"395"	"Apoptosis WT_TNF"	"TBHQ"	"5"
"396"	"Apoptosis WT_TNF"	"TBHQ"	"6"
"397"	"Apoptosis WT_TNF"	"TBHQ"	"7"
"398"	"Apoptosis WT_TNF"	"TBHQ"	"8"
"399"	"Apoptosis WT_TNF"	"TBHQ"	"9"
"400"	"Apoptosis WT_TNF"	"Troglitazone"	"1"
"401"	"Apoptosis WT_TNF"	"Troglitazone"	"2"
"402"	"Apoptosis WT_TNF"	"Troglitazone"	"3"
"403"	"Apoptosis WT_TNF"	"Troglitazone"	"4"
"404"	"Apoptosis WT_TNF"	"Troglitazone"	"5"
"405"	"Apoptosis WT_TNF"	"Troglitazone"	"6"
"406"	"Apoptosis WT_TNF"	"Troglitazone"	"7"
"407"	"Apoptosis WT_TNF"	"Troglitazone"	"8"
"408"	"Apoptosis WT_TNF"	"Troglitazone"	"9"
"409"	"BIP_DMEM"	"Andrographolide"	"1"
"410"	"BIP_DMEM"	"Andrographolide"	"2"
"411"	"BIP_DMEM"	"Andrographolide"	"3"
"412"	"BIP_DMEM"	"Andrographolide"	"4"
"413"	"BIP_DMEM"	"Andrographolide"	"5"
"414"	"BIP_DMEM"	"Andrographolide"	"6"
"415"	"BIP_DMEM"	"Andrographolide"	"7"
"416"	"BIP_DMEM"	"Andrographolide"	"8"
"417"	"BIP_DMEM"	"CDDO-Me"	"1"
"418"	"BIP_DMEM"	"CDDO-Me"	"2"
"419"	"BIP_DMEM"	"CDDO-Me"	"3"
"420"	"BIP_DMEM"	"CDDO-Me"	"4"
"421"	"BIP_DMEM"	"CDDO-Me"	"5"
"422"	"BIP_DMEM"	"CDDO-Me"	"6"
"423"	"BIP_DMEM"	"CDDO-Me"	"7"
"424"	"BIP_DMEM"	"CDDO-Me"	"8"
"425"	"BIP_DMEM"	"DEM"	"1"
"426"	"BIP_DMEM"	"DEM"	"2"
"427"	"BIP_DMEM"	"DEM"	"3"
"428"	"BIP_DMEM"	"DEM"	"4"
"429"	"BIP_DMEM"	"DEM"	"5"
"430"	"BIP_DMEM"	"DEM"	"6"
"431"	"BIP_DMEM"	"DEM"	"7"
"432"	"BIP_DMEM"	"DEM"	"8"
"433"	"BIP_DMEM"	"Diclofenac"	"1"
"434"	"BIP_DMEM"	"Diclofenac"	"2"
"435"	"BIP_DMEM"	"Diclofenac"	"3"
"436"	"BIP_DMEM"	"Diclofenac"	"4"
"437"	"BIP_DMEM"	"Diclofenac"	"5"
"438"	"BIP_DMEM"	"Diclofenac"	"6"
"439"	"BIP_DMEM"	"Diclofenac"	"7"
"440"	"BIP_DMEM"	"Diclofenac"	"8"
"441"	"BIP_DMEM"	"Diclofenac"	"9"
"442"	"BIP_DMEM"	"DMSO"	"1"
"443"	"BIP_DMEM"	"Ethacrynic acid"	"1"
"444"	"BIP_DMEM"	"Ethacrynic acid"	"2"
"445"	"BIP_DMEM"	"Ethacrynic acid"	"3"
"446"	"BIP_DMEM"	"Ethacrynic acid"	"4"
"447"	"BIP_DMEM"	"Ethacrynic acid"	"5"
"448"	"BIP_DMEM"	"Ethacrynic acid"	"6"
"449"	"BIP_DMEM"	"Ethacrynic acid"	"7"
"450"	"BIP_DMEM"	"Ethacrynic acid"	"8"
"451"	"BIP_DMEM"	"Sulforaphane"	"1"
"452"	"BIP_DMEM"	"Sulforaphane"	"2"
"453"	"BIP_DMEM"	"Sulforaphane"	"3"
"454"	"BIP_DMEM"	"Sulforaphane"	"4"
"455"	"BIP_DMEM"	"Sulforaphane"	"5"
"456"	"BIP_DMEM"	"Sulforaphane"	"6"
"457"	"BIP_DMEM"	"Sulforaphane"	"7"
"458"	"BIP_DMEM"	"Sulforaphane"	"8"
"459"	"BIP_DMEM"	"TBHQ"	"1"
"460"	"BIP_DMEM"	"TBHQ"	"2"
"461"	"BIP_DMEM"	"TBHQ"	"3"
"462"	"BIP_DMEM"	"TBHQ"	"4"
"463"	"BIP_DMEM"	"TBHQ"	"5"
"464"	"BIP_DMEM"	"TBHQ"	"6"
"465"	"BIP_DMEM"	"TBHQ"	"7"
"466"	"BIP_DMEM"	"TBHQ"	"8"
"467"	"BIP_DMEM"	"TBHQ"	"9"
"468"	"BIP_DMEM"	"Troglitazone"	"1"
"469"	"BIP_DMEM"	"Troglitazone"	"2"
"470"	"BIP_DMEM"	"Troglitazone"	"3"
"471"	"BIP_DMEM"	"Troglitazone"	"4"
"472"	"BIP_DMEM"	"Troglitazone"	"5"
"473"	"BIP_DMEM"	"Troglitazone"	"6"
"474"	"BIP_DMEM"	"Troglitazone"	"7"
"475"	"BIP_DMEM"	"Troglitazone"	"8"
"476"	"BIP_DMEM"	"Troglitazone"	"9"
"477"	"CHOP_DMEM"	"Andrographolide"	"1"
